"HOUSEHOLD DATA
ANNUAL AVERAGES
39. Median weekly earnings of full-time wage and salary workers by detailed occupation and sex",,,,,,
[Numbers in thousands],,,,,,
,,,,,,
Occupation,2024,,,,,
,Total,,Men,,Women,
,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings
,,,,,,
"Total, full-time wage and salary workers","120,053","$1,159","65,941","$1,261","54,111","$1,043"
,,,,,,
"Management, professional, and related occupations","56,051","1,582","26,746","1,879","29,305","1,388"
"Management, business, and financial operations occupations","24,084","1,731","12,412","1,906","11,671","1,523"
Management occupations,"15,539","1,773","8,602","1,955","6,937","1,551"
Chief executives,"1,213","2,924",791,"3,115",422,"2,711"
General and operations managers,"1,266","1,650",838,"1,826",429,"1,362"
Legislators,15,–,6,–,9,–
Advertising and promotions managers,39,–,16,–,23,–
Marketing managers,446,"1,886",150,"1,922",297,"1,846"
Sales managers,538,"2,217",365,"2,475",173,"1,753"
Public relations and fundraising managers,136,"1,831",41,–,95,"1,743"
Administrative services managers,74,"1,494",15,–,59,"1,462"
Facilities managers,131,"1,375",106,"1,399",26,–
Computer and information systems managers,712,"2,333",496,"2,522",216,"2,110"
Financial managers,"1,360","1,890",616,"2,320",743,"1,560"
Compensation and benefits managers,9,–,3,–,6,–
Human resources managers,299,"1,869",86,"2,284",213,"1,803"
Training and development managers,65,"1,536",23,–,42,–
Industrial production managers,288,"1,873",226,"1,925",62,"1,728"
Purchasing managers,218,"1,850",113,"1,983",105,"1,598"
"Transportation, storage, and distribution managers",343,"1,288",265,"1,320",78,"1,232"
"Farmers, ranchers, and other agricultural managers",132,989,97,"1,046",35,–
Construction managers,785,"1,765",680,"1,767",105,"1,744"
Education and childcare administrators,892,"1,653",301,"1,857",591,"1,558"
Architectural and engineering managers,199,"2,899",177,"2,898",22,–
Food service managers,763,"1,046",384,"1,155",379,942
Funeral home managers,7,–,3,–,4,–
Entertainment and recreation managers,49,–,28,–,22,–
Lodging managers,88,"1,210",36,–,53,"1,061"
Medical and health services managers,716,"1,710",176,"2,095",541,"1,559"
Natural sciences managers,58,"1,538",22,–,36,–
Postmasters and mail superintendents,20,–,12,–,8,–
"Property, real estate, and community association managers",445,"1,180",202,"1,355",244,"1,118"
Social and community service managers,434,"1,415",114,"1,686",320,"1,328"
Emergency management directors,17,–,12,–,5,–
"Personal service managers, all other",9,–,2,–,8,–
"Managers, all other","3,770","1,863","2,202","1,990","1,569","1,563"
Business and financial operations occupations,"8,545","1,610","3,810","1,804","4,734","1,469"
"Agents and business managers of artists, performers, and athletes",28,–,17,–,11,–
"Buyers and purchasing agents, farm products",10,–,5,–,5,–
"Wholesale and retail buyers, except farm products",124,"1,184",67,"1,465",57,880
"Purchasing agents, except wholesale, retail, and farm products",270,"1,428",136,"1,538",134,"1,322"
"Claims adjusters, appraisers, examiners, and investigators",381,"1,348",153,"1,583",227,"1,231"
Compliance officers,284,"1,517",124,"1,990",160,"1,402"
Cost estimators,144,"1,646",114,"1,731",29,–
Human resources workers,922,"1,453",226,"1,520",696,"1,424"
"Compensation, benefits, and job analysis specialists",46,–,8,–,39,–
Training and development specialists,135,"1,417",58,"1,466",77,"1,337"
Logisticians,184,"1,205",118,"1,352",67,"1,003"
Project management specialists,893,"1,854",461,"1,889",432,"1,803"
Management analysts,756,"1,937",438,"2,006",317,"1,894"
"Meeting, convention, and event planners",103,"1,170",28,–,75,"1,153"
Fundraisers,59,"1,729",19,–,41,–
Market research analysts and marketing specialists,493,"1,659",158,"1,881",334,"1,613"
"Business operations specialists, all other",598,"1,408",223,"1,619",375,"1,243"
Accountants and auditors,"1,531","1,642",644,"1,853",886,"1,517"
Property appraisers and assessors,49,–,27,–,22,–
Budget analysts,42,–,15,–,27,–
Credit analysts,42,–,20,–,22,–
Financial and investment analysts,385,"1,889",194,"1,985",191,"1,734"
Personal financial advisors,400,"1,922",258,"2,309",142,"1,462"
Insurance underwriters,117,"1,331",40,–,78,"1,289"
Financial examiners,28,–,16,–,12,–
Credit counselors and loan officers,295,"1,388",137,"1,988",157,"1,071"
"Tax examiners and collectors, and revenue agents",43,–,23,–,20,–
Tax preparers,62,"1,364",28,–,34,–
