"Gender wage gap"
"% of median earnings of men, 2023"
"Category","Gender wage gap"
"Korea",29.300864101
"Japan",22.042139384
"Latvia",18.412028289
"United States",16.389351082
"Canada",16.136363636
"Finland",16.131884932
"Mexico",15
"Germany",14.245334436
"Hungary",14.241161051
"Chile",13.593248303
"United Kingdom",13.255172414
"Czechia",13.170419834
"Austria",11.955710284
"Ireland",11.808680897
"Slovak Rep.",11.760408325
"Australia",11.34751773
"OECD",11.3026200891324
"Poland",10.857191217
"Portugal",10.056101514
"Greece",9.6949998627
"Slovenia",9.1782138313
"Sweden",7.2972972973
"Spain",6.2009459509
"Netherlands",6.0700110012
"Norway",4.5200892857
"New Zealand",4.2303172738
"Costa Rica",4.210524667
"Italy",4.1421142547
"Colombia",1.9455252918
